std_account_name,class_of_trade,on_off_premise,address,city,state,zip_code
WAYFARE TAVERN,RESTAURANT,ON,201 PINE ST,SAN FRANCISCO,CA,94104
ALLEYCAT,RESTAURANT,ON,297 EAST PALMETTO PARK ROAD,BOCA RATON,FL,33432
CHUBBY CATTLE,RESTAURANT,ON,4525 SPRING MOUNTAIN RD STE106,LAS VEGAS,NV,89102
LOVELY DAY,RESTAURANT,ON,196 ELIZABETH ST,NEW YORK,NY,10010
THE RIVER OYSTER BAR,RESTAURANT,ON,33 SE 7TH STREET,MIAMI,FL,33131
SOBE-RAW BAR MASTER CLASS,RESTAURANT,ON,210 NE 18TH STREET,MIAMI,FL,33132
SPOTOS OYSTER BAR,RESTAURANT,ON,4560 PGA BLVD,PALM BEACH GARDENS,FL,33418
BLUE WHALE RESTAURANT & LOUNGE,RESTAURANT,ON,2033 UNION ST,SAN FRANCISCO,CA,94123
ALICE RESTAURANT,RESTAURANT,ON,126 WEST 13TH ST,NEW YORK,NY,10011
CATCH STEAK,RESTAURANT,ON,204 SOUTH GALENA STREET,ASPEN,CO,81611
Pasha Restaurant,RESTAURANT,ON,631 Miami Circle NE #7,Atlanta,GA,30324
HSU S GOURMET,RESTAURANT,ON,192 Peachtree Center Ave NE #A039,Atlanta,GA,30303
YAMA IZAKAYA & SUSHI B,RESTAURANT,ON,2625 OLD DENTON ROAD SUITE 920,CARROLLTON,TX,75007
MOBY S,RESTAURANT,ON,341 PANTIGO RD,EAST HAMPTON,NY,11937
GREYHOUND HIGHLAND PARK,RESTAURANT,ON,5570 N FIGUEROA ST,LOS ANGELES,CA,90042
SHANG ARTISAN NOODLE,RESTAURANT,ON,4983 W FLAMINGO RD #B,LAS VEGAS,NV,89103
Pinky Promise Champagne Bar,RESTAURANT,ON,1042 Northside Dr NW Ste P125,Atlanta,GA,30318
THE GINGER PIG,RESTAURANT,ON,4262 LOWELL BLVD,DENVER,CO,80211
Memphis Smokehouse (Sea Salt),RESTAURANT,ON,1801 Howell Mill Rd NW Ste 400,Atlanta,GA,30318
Prime Cigar,RESTAURANT,ON,1035 peachtree st ne,Atlanta,GA,30309
LAMARINA,RESTAURANT,ON,4050 NORTH FLAGLER DRIVE,WEST PALM BEACH,FL,33407
CRAIG S RESTAURANT,RESTAURANT,ON,8826 MELROSE AV,WEST HOLLYWOOD,CA,90069
SHANG ARTISAN NOODLE,RESTAURANT,ON,6915 S DURANGO DRIVE,LAS VEGAS,NV,89148
CHINA GARDEN,RESTAURANT,ON,100 WEST BEAVER CREEK BLVD 125,AVON,CO,81620
LE COLONIAL,RESTAURANT,ON,255 N FILLMORE ST SUITE 120,DENVER,CO,80206
Osha Thai And Sushi Galleria,RESTAURANT,ON,1820 Peachtree St NW,Atlanta,GA,30309
GUGU ROOM NYC,RESTAURANT,ON,143 ORCHARD ST,NEW YORK,NY,10002
NUDIBRANCH,RESTAURANT,ON,125 127 1ST AVE,NEW YORK,NY,10003
PATISSERIE CHANSON,RESTAURANT,ON,20 W23RD ST,NEW YORK,NY,10010
NIKU X LOS ANGELES,RESTAURANT,ON,900 WILSHIRE BLVD STE 212,LOS ANGELES,CA,90017
HEATHERS SNOWMASS,RESTAURANT,ON,300 CARRIAGE WAY,SNOWMASS VILLAGE,CO,81615
TSURI SUSHI,RESTAURANT,ON,7015 MELROSE AVE,LOS ANGELES,CA,90038
Ruby Chow s,RESTAURANT,ON,620 Glen Iris Dr NE #C-1,Atlanta,GA,30308
PRESS,RESTAURANT,ON,587-B S ST HELENA HWY,ST. HELENA,CA,94574
